,car_dist,bike_dist
0,00:15:00,01:14:00
1,00:26:00,01:43:00
2,00:20:00,01:24:00
3,00:12:00,00:20:00
4,00:11:00,00:23:00
5,00:22:00,00:46:00
6,00:21:00,01:16:00
7,00:09:00,00:21:00
8,00:12:00,00:28:00
9,00:22:00,01:05:00
10,00:10:00,00:27:00
11,00:21:00,01:27:00
12,00:20:00,01:12:00
13,00:16:00,00:32:00
14,00:11:00,00:25:00
15,00:21:00,00:45:00
16,00:25:00,01:15:00
17,00:15:00,00:45:00
18,00:18:00,00:34:00
19,00:15:00,00:56:00
20,00:11:00,00:20:00
21,00:15:00,00:38:00
22,00:15:00,00:28:00
23,00:09:00,00:15:00
24,00:12:00,00:35:00
25,00:10:00,00:21:00
26,00:05:00,00:10:00
27,00:08:00,00:13:00
28,00:15:00,00:45:00
29,00:10:00,00:30:00
30,00:11:00,00:18:00
31,00:11:00,00:37:00
32,00:06:00,00:09:00
33,00:08:00,00:11:00
34,00:11:00,00:35:00
35,00:09:00,00:19:00
36,00:13:00,00:26:00
37,00:08:00,00:10:00
38,00:20:00,00:42:00
39,00:15:00,01:14:00
40,00:15:00,01:00:00
41,00:11:00,00:19:00
42,00:22:00,00:48:00
43,00:22:00,00:48:00
44,00:11:00,00:31:00
45,00:21:00,01:16:00
46,00:16:00,01:19:00
47,00:20:00,00:46:00
48,00:21:00,00:45:00
49,00:13:00,00:37:00
50,00:26:00,00:54:00
51,00:13:00,00:28:00
52,00:27:00,00:55:00
53,00:18:00,00:51:00
54,00:14:00,00:54:00
55,00:14:00,00:37:00
56,00:14:00,00:44:00
57,00:14:00,00:38:00
58,00:15:00,00:30:00
59,00:20:00,01:15:00
60,00:21:00,01:24:00
61,00:20:00,01:20:00
62,00:20:00,01:12:00
63,00:20:00,01:26:00
64,00:21:00,01:36:00
65,00:20:00,01:22:00
66,00:28:00,00:02:00
67,00:30:00,00:02:00
68,00:22:00,00:02:00
69,00:21:00,01:40:00
70,00:29:00,00:02:00
71,00:18:00,00:50:00
72,00:32:00,00:03:00
