,name,description,price,city,address,car_dist,bike_dist,is_bikable,website
0,1. Miller Union,"At Miller Union, Georgia native Steven Satterfield gathers every misguided notion about Southern food and tosses them in the compost heap. What’s left: dishes that are understated revelries (that silky farm egg in lush celery cream, oh my) and honest explorations of the modern South (see: Seasonal Vegetable Plate). That they’re served in the most unpretentious high-end restaurant in Atlanta—equally suitable for the laziest of lunches or the most special occasion—makes the fried pork chop with creamed greens and the duck breast with hoecakes and strawberry even more exceptional.",3,Westside,999 Brady Avenue,00:08:00,00:12:00,True,
1,2. Masterpiece,"The first bite: Masterpiece’s dry-fried eggplant (Eggplant with Chilli Powder and Pepper Ash Powder), which sits at the pinnacle of every iteration we’ve encountered of the beloved Sichuan dish. The second bite: Masterpiece’s Dong Po Pork, a braised brick of pork belly lacquered in a mahogany-hued glaze that tastes as if it were a syrup extracted from a mythical tree. The exterior is crackly-crisp and salty, the interior creamy and sweet, the level of ma la (numbing spice) precisely calibrated with a liberal but not obnoxious dose of fragrant, crunchy Sichuan peppercorns.",2,Duluth,3940 Buford Highway,00:15:00,01:14:00,False,masterpiece-chinese.com
2,3. Spring,"You’ll also find our favorite fish dish in town: pan-roasted halibut with squash, wax beans, asparagus, and beurre blanc. It was situated practically on top of the railroad tracks in a remote corner of Marietta Square, a destination not exactly known for culinary risk-taking. Pappardelle with green garlic cream, morels, fava beans, and Parmesan is a joyous celebration of the restaurant’s namesake.",3,Marietta,36 Mill Street,00:26:00,01:43:00,False,springmarietta.com
3,4. Sushi Hayakawa,"Not only is that your entry fee to the restaurant’s 14-course, two-and-a-half-hour honkaku (authentic) omakase (a Japanese feast in which the diner lets the chef steer); it also gets you front-and-center seats at Atsushi “Art” Hayakawa’s sushi counter. The former will get you premium nigiri (the fish is flown in from Japanese markets) that Hayakawa gently brushes with his housemade soy sauce—and, if you’re lucky, his signature dish of monkfish liver and scallops. Hayakawa is the most delightful character in Atlanta’s food scene, a master of his craft who’s as skilled at handling fish and rice as he is at charming his guests.",4,Doraville,5979 Buford Highway,00:20:00,01:24:00,False,sushihayakawa.com
4,5. Bacchanalia,"Even before the brigade of Atlanta’s high-end restaurants (and high-end everything) began its trek toward less-exclusive zip codes, Bacchanalia entered its second chapter, boldly moving in 1999 to a repurposed warehouse in a then sleepy part of town: the Westside. And though Bacchanalia’s elegantly simple food—crafted with impeccably sourced ingredients (many of them from Quatrano’s own farm)—hasn’t changed much in 26 years, it’s no less influential. Chef Anne Quatrano and her husband, Cliff Harrison, haven’t merely stayed ahead of the curve—they’ve drawn the curve.",4,Westside,1460 Ellsworth Industrial Boulevard,00:12:00,00:20:00,False,starprovisions.com/bacchanalia
5,6. Boccalupo,"Instead of confining himself to narrow traditions, he creates cult favorites: black spaghetti with red shrimp, hot Calabrian sausage, and scallions; 20-yolk tagliatelle with mushrooms and kale kimchi; and pan-fried white lasagna with creme fraiche and jalapeño pesto. BoccaLupo’s appetizers are creative and smart (think octopus and mortadella spiedino or wild calamari in brodetto), its scene intimate yet lively (tucked away in a calm corner of an otherwise oversaturated Inman Park), and its beverage program as accomplished as everything Logue sets his mind to. Head for the covered patio or the minuscule bar, both among the best spots in the city for conversation.",2,Inman Park,753 Edgewood Avenue,00:11:00,00:23:00,False,boccalupoatl.com
6,7. Kimball House,"The vegetable sides—such as a $10 stir fry of mushroom, turnip, broccoli, radish, and greens, glammed up with ají amarillo butter—get as much respect from the kitchen as the $110 steak dinner. Yes, the oyster program is the best around, down to co-owner and bivalve evangelist Bryan Rackley’s impressively specific tasting notes (“green beans & cantaloupe . . . From grouper collar to bar steak, lemon-pepper chicken skins to caviar and Carolina Gold rice middlins, there’s nothing Kimball House can’t do.",3,Decatur,303 East Howard Avenue,00:22:00,00:46:00,False,kimball-house.com
7,8. LanZhou Ramen,"The resulting noodles—or, if you prefer, the thicker, knife-cut ones—show up in bowls of fragrant beef broth brimming with wilted greens and tender meat, or stir-fried with your choice of three spice options: regular, spicy, or laced with cumin seeds. The city of Lanzhou is the noodle capital of China, and Buford Highway strip-mall joint LanZhou Ramen is the noodle capital of metro Atlanta. You can (and should) observe their creation by gazing into LanZhou’s kitchen through a picture window that dramatically frames the hypnotic act of rolling, stretching, and spinning the cascading tendrils of springy dough.",1,Doraville,5231 Buford Highway,00:21:00,01:16:00,False,lanzhouramenatlanta.com
8,9. Staplehouse,"Since the onset of the coronavirus pandemic, Staplehouse has gracefully met the moment, closing its dining room and reconfiguring into a market offering charcuterie, pastries, and house-made pantry items to go, plus a judicious selection of prepared dishes (beef cheek hand pie, alkaline noodles with turnips and chili crisp, chicken liver tart) that can either be taken away or consumed on-site, drink in hand, on a beautiful outdoor patio space.",2,Old Fourth Ward,541 Edgewood Avenue,00:09:00,00:21:00,False,staplehouse.com
9,10. Talat Market,"In practice, that means dishes like yum phonlamai, a salad built around whatever fruit is in season (peach, melon, blueberries) dressed with a savory, funky mix of lemongrass, mint, cilantro, scallop floss, and fish sauce; yum khao tod, a crispy rice salad with housemade red chili jam; the meat salad laab, featuring ingredients as disparate as duck heart and sunchokes; crispy mussel pancakes; and much, much more. Decorated with a lavish mural, lush green walls, and ceiling-hung flower pots, Talat Market stays on its toes and keeps diners on theirs with a daily-changing menu based on a winning concept: Thai technique, Georgia ingredients. When Parnass Savang and Rod Lassiter finally opened this brick-and-mortar space in the inauspicious month of April 2020, they were doing curbside service only, finding themselves selling out every night.",2,Summerhill,112 Ormond Street,00:12:00,00:28:00,False,talatmarketatl.com
